STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,citizen,Country of citizenship,age,Age class,sex,Sex,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,CH,Switzerland,2019,,4.5,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,CH,Switzerland,2020,,3.6,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,CH,Switzerland,2021,,3.9,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,CH,Switzerland,2022,,3.7,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,CH,Switzerland,2023,,4.1,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,CY,Cyprus,2014,,26.9,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,CY,Cyprus,2015,,19.8,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,CY,Cyprus,2016,,19.0,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,CY,Cyprus,2017,,15.1,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,CY,Cyprus,2018,,12.2,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,CY,Cyprus,2019,,10.9,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,CY,Cyprus,2020,,9.1,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,CY,Cyprus,2021,,9.3,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,CY,Cyprus,2022,,10.0,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,CY,Cyprus,2023,,8.9,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,CY,Cyprus,2024,,8.1,,b,break in time series,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,CZ,Czechia,2014,,13.3,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,CZ,Czechia,2015,,11.1,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,CZ,Czechia,2016,,9.4,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,CZ,Czechia,2017,,8.6,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,CZ,Czechia,2018,,6.8,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,CZ,Czechia,2019,,6.0,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,CZ,Czechia,2020,,5.4,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,CZ,Czechia,2021,,4.9,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,CZ,Czechia,2022,,5.0,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,CZ,Czechia,2023,,6.6,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,CZ,Czechia,2024,,6.6,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,DE,Germany,2014,,12.8,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,DE,Germany,2015,,11.6,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,DE,Germany,2016,,9.8,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,DE,Germany,2017,,8.5,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,DE,Germany,2018,,8.1,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,DE,Germany,2019,,7.0,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,DE,Germany,2020,,7.0,,b,break in time series,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,DE,Germany,2021,,7.1,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,DE,Germany,2022,,9.5,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,DE,Germany,2023,,10.5,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,DE,Germany,2024,,9.1,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,DK,Denmark,2014,,5.8,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,DK,Denmark,2015,,7.1,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,DK,Denmark,2016,,5.6,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,DK,Denmark,2017,,7.0,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,DK,Denmark,2018,,7.8,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,DK,Denmark,2019,,6.4,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,DK,Denmark,2020,,6.6,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,DK,Denmark,2021,,6.0,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,DK,Denmark,2022,,6.8,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,DK,Denmark,2023,,9.0,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,DK,Denmark,2024,,8.8,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,EE,Estonia,2014,,11.6,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,EE,Estonia,2015,,8.2,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,EE,Estonia,2016,,6.4,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,EE,Estonia,2017,,9.9,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,EE,Estonia,2018,,8.4,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,EE,Estonia,2019,,7.5,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,EE,Estonia,2020,,6.4,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,EE,Estonia,2021,,5.0,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,EE,Estonia,2022,,7.8,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,EE,Estonia,2023,,6.3,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,EE,Estonia,2024,,7.7,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,EL,Greece,2014,,34.6,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,EL,Greece,2015,,34.8,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,EL,Greece,2016,,33.3,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,EL,Greece,2017,,33.7,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,EL,Greece,2018,,32.5,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,EL,Greece,2019,,30.2,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,EL,Greece,2020,,29.2,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,EL,Greece,2021,,28.4,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,EL,Greece,2022,,29.3,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,EL,Greece,2023,,28.2,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,EL,Greece,2024,,29.1,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,ES,Spain,2014,,18.0,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,ES,Spain,2015,,14.2,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,ES,Spain,2016,,16.0,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,ES,Spain,2017,,13.4,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,ES,Spain,2018,,14.8,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,ES,Spain,2019,,13.0,,,,,
dataflow,ESTAT:ILC_MDSD04(1.0),"Material and social deprivation rate by age, sex and group of citizenship",A,Annual,NAT,Reporting country,Y_GE16,16 years or over,F,Females,PC,Percentage,ES,Spain,2020,,14.0,,,,,
