STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,c_birth,Country/region of birth,sex,Sex,age,Age class,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,BG,Bulgaria,2020,,7.9,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,BG,Bulgaria,2021,,8.2,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,BG,Bulgaria,2022,,8.6,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,BG,Bulgaria,2023,,6.9,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,BG,Bulgaria,2024,,7.2,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,CH,Switzerland,2014,,5.7,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,CH,Switzerland,2015,,5.7,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,CH,Switzerland,2016,,5.2,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,CH,Switzerland,2017,,5.8,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,CH,Switzerland,2018,,5.8,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,CH,Switzerland,2019,,5.6,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,CH,Switzerland,2020,,6.0,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,CH,Switzerland,2021,,5.7,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,CH,Switzerland,2022,,6.4,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,CH,Switzerland,2023,,5.9,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,CY,Cyprus,2015,,10.5,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,CY,Cyprus,2016,,10.7,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,CY,Cyprus,2017,,9.6,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,CY,Cyprus,2018,,8.3,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,CY,Cyprus,2019,,6.9,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,CY,Cyprus,2020,,6.4,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,CY,Cyprus,2021,,5.8,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,CY,Cyprus,2022,,4.8,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,CY,Cyprus,2023,,4.7,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,CY,Cyprus,2024,,4.5,,b,break in time series,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,CZ,Czechia,2015,,6.7,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,CZ,Czechia,2016,,6.6,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,CZ,Czechia,2017,,6.1,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,CZ,Czechia,2018,,5.0,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,CZ,Czechia,2019,,5.0,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,CZ,Czechia,2020,,5.0,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,CZ,Czechia,2021,,5.4,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,CZ,Czechia,2022,,4.6,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,CZ,Czechia,2023,,4.7,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,CZ,Czechia,2024,,5.1,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,DE,Germany,2015,,10.3,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,DE,Germany,2016,,10.3,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,DE,Germany,2017,,10.2,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,DE,Germany,2018,,10.0,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,DE,Germany,2019,,9.3,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,DE,Germany,2020,,6.5,,b,break in time series,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,DE,Germany,2021,,7.8,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,DE,Germany,2022,,8.1,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,DE,Germany,2023,,7.7,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,DE,Germany,2024,,7.9,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,DK,Denmark,2015,,13.1,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,DK,Denmark,2016,,13.0,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,DK,Denmark,2017,,10.7,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,DK,Denmark,2018,,11.6,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,DK,Denmark,2019,,10.9,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,DK,Denmark,2020,,10.8,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,DK,Denmark,2021,,11.9,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,DK,Denmark,2022,,11.3,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,DK,Denmark,2023,,12.3,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,DK,Denmark,2024,,12.5,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,EE,Estonia,2015,,5.3,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,EE,Estonia,2016,,4.4,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,EE,Estonia,2017,,4.2,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,EE,Estonia,2018,,4.7,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,EE,Estonia,2019,,4.7,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,EE,Estonia,2020,,4.2,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,EE,Estonia,2021,,4.6,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,EE,Estonia,2022,,5.4,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,EE,Estonia,2023,,5.5,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,EE,Estonia,2024,,4.9,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,EL,Greece,2015,,18.5,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,EL,Greece,2016,,19.0,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,EL,Greece,2017,,17.0,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,EL,Greece,2018,,16.5,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,EL,Greece,2019,,15.6,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,EL,Greece,2020,,14.7,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,EL,Greece,2021,,14.4,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,EL,Greece,2022,,11.7,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,EL,Greece,2023,,10.4,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,EL,Greece,2024,,9.4,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,ES,Spain,2015,,16.6,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,ES,Spain,2016,,16.4,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,ES,Spain,2017,,14.3,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,ES,Spain,2018,,12.8,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,ES,Spain,2019,,13.0,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,ES,Spain,2020,,11.2,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,ES,Spain,2021,,12.4,,,,,
dataflow,ESTAT:ILC_LVHL16N(1.0),People living in households with very low work intensity by group of country of birth (population aged 18 to 64 years),A,Annual,NAT,Reporting country,F,Females,Y18-64,From 18 to 64 years,PC,Percentage,ES,Spain,2022,,10.1,,,,,
